tracking_id,fecha_recogida,fecha_entrega,ciudad,codigo_postal,peso_kg,estado,repartidor_id,cliente_tipo,importe_envio
RPX-2024-008142,2024-09-07 10:40:43,,Madrid,28039,19.74,INCIDENCIA,REP-018,PARTICULAR,3.92
RPX-2024-011968,2024-06-24 10:17:11,2024-06-25 20:12:11,Sevilla,41016,12.37,ENTREGADO,REP-088,PARTICULAR,14.21
RPX-2024-000232,2024-05-30 15:53:14,2024-05-31 08:42:14,Sevilla,41012,18.18,ENTREGADO,REP-175,PARTICULAR,10.01
RPX-2024-001844,2024-02-05 09:46:46,,Bilbao,48014,24.22,INCIDENCIA,REP-066,EMPRESA,16.92
RPX-2024-009944,2024-06-16 12:13:37,2024-06-17 04:13:37,Madrid,28032,8.35,ENTREGADO,REP-104,PARTICULAR,10.44
RPX-2024-007652,2024-03-20 13:23:25,2024-03-21 10:05:25,Valencia,46004,0.9,ENTREGADO,REP-206,PARTICULAR,9.83
RPX-2024-010748,2024-08-19 17:37:39,,Valencia,46005,10.05,INCIDENCIA,REP-030,PARTICULAR,3.66
RPX-2024-006387,2024-07-08 10:43:01,2024-07-09 11:04:01,  Madrid  ,28040,4.26,ENTREGADO,REP-199,PARTICULAR,5.53
RPX-2024-011278,10/10/2024 08:27:21,2024-10-11 17:08:21,Madrid,28008,7.39,ENTREGADO,REP-164,PARTICULAR,3.77
RPX-2024-002377,2024-10-04 14:16:09,2024-10-05 02:16:09,Madrid,28032,8.51,ENTREGADO,REP-042,PARTICULAR,11.43
RPX-2024-003703,22/05/2024 08:33:41,2024-05-22 16:16:41,Madrid,28003,15.29,ENTREGADO,REP-161,PARTICULAR,4.12
RPX-2024-002839,2024-04-05 15:38:50,2024-04-05 19:43:50,Madrid,28040,19.44,ENTREGADO,REP-205,EMPRESA,5.82
RPX-2024-007588,2024-12-25 15:26:48,2024-12-26 16:04:48,Madrid,28040,19.89,ENTREGADO,REP-140,EMPRESA,10.8
RPX-2024-005872,2024-08-08 12:37:04,2024-08-08 23:57:04,Madrid,28040,8.31,ENTREGADO,REP-156,PARTICULAR,6.31
RPX-2024-014899,2024-09-21 18:18:18,,Valencia,46019,14.66,DEVUELTO,REP-103,PARTICULAR,5.3
RPX-2024-002967,2024-07-10 18:10:17,2024-07-11 09:34:17,  Valencia  ,46016,8.23,ENTREGADO,REP-049,EMPRESA,10.25
RPX-2024-001034,2024-09-13 13:35:30,2024-09-14 18:10:30,Madrid,28021,0.83,ENTREGADO,REP-046,PARTICULAR,8.2
RPX-2024-002732,2024-01-11 14:49:18,2024-01-12 11:48:18,Madrid,28016,9.06,ENTREGADO,REP-131,PARTICULAR,8.89
