fecha_dia,anyo,mes,ciudad,total_envios,envios_entregados,envios_incidencias,envios_devueltos,pct_sla_cumplido,pct_incidencia,tiempo_medio_transito_h,facturacion_total
2024-01-01,2024,1,Barcelona,9,7,1,1,33.33,11.11,25.73,101.97
2024-01-01,2024,1,Bilbao,1,0,1,0,0.0,100.0,,5.32
2024-01-01,2024,1,Madrid,13,13,0,0,69.23,0.0,21.33,129.6
2024-01-01,2024,1,Sevilla,7,6,1,0,71.43,14.29,17.44,71.67
2024-01-01,2024,1,Valencia,7,6,1,0,71.43,14.29,16.42,84.81
2024-01-02,2024,1,Barcelona,13,11,1,1,61.54,7.69,18.81,135.34
2024-01-02,2024,1,Bilbao,1,1,0,0,100.0,0.0,7.25,3.74
2024-01-02,2024,1,Madrid,14,13,1,0,42.86,7.14,22.17,166.71
2024-01-02,2024,1,Sevilla,6,4,1,1,33.33,16.67,19.37,69.77
2024-01-02,2024,1,Valencia,2,2,0,0,0.0,0.0,31.6,23.76
2024-01-03,2024,1,Barcelona,9,8,1,0,33.33,11.11,26.88,105.15
2024-01-03,2024,1,Bilbao,1,0,1,0,0.0,100.0,,11.49
2024-01-03,2024,1,Madrid,18,14,2,2,61.11,11.11,15.42,163.94
2024-01-03,2024,1,Sevilla,5,4,1,0,40.0,20.0,24.49,52.54
2024-01-03,2024,1,Valencia,7,7,0,0,14.29,0.0,27.63,86.06
2024-01-04,2024,1,Barcelona,16,15,0,1,56.25,0.0,19.51,189.22
2024-01-04,2024,1,Madrid,14,13,1,0,64.29,7.14,20.66,176.06
2024-01-04,2024,1,Sevilla,2,2,0,0,100.0,0.0,7.62,30.56
2024-01-04,2024,1,Valencia,4,4,0,0,50.0,0.0,23.79,32.84
2024-01-05,2024,1,Barcelona,8,7,1,0,62.5,12.5,16.9,103.13
2024-01-05,2024,1,Bilbao,7,6,1,0,57.14,14.29,19.4,71.5
2024-01-05,2024,1,Madrid,17,15,1,1,47.06,5.88,21.43,155.32
2024-01-05,2024,1,Sevilla,8,6,1,1,62.5,12.5,17.87,88.04
2024-01-05,2024,1,Valencia,6,6,0,0,50.0,0.0,22.94,86.82
